"title","body","rating","review_date","source","curated","reviewer_name","reviewer_email","product_id","product_handle","reply","reply_date","picture_urls","ip_address","location","metaobject_handle"
"Smell like good Tea Tree","It is very good comfortable for my hair like soft. I smelled new shampoo like good Tea Tre","5","2020-12-28 00:00:00 UTC","direct","ok","Julian Castaneda","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-a7144fc0-dc05-4ca4-89f1-b8933acdeea8"
"An effective eye cream for men!","I have used Challenger Men's Primo eye cream a couple of times at night and I noticed that it absorbs quickly and leaves skin very smooth. A little cream goes a long way. The texture is creamy but not much oily. It contains a wide spectrum of effective ingredients for refreshing, revitalizing, and removing puffiness and dark circles. I have noticed a reduction in around-eye dark circles. Caffeine, Hyaluronic acid, and Aloe Vera are the main active ingredients that are beneficial for long-lasting hydration.
Overall, the current eye cream from Challenger is a great and effective product for long-lasting hydration and puffiness removal while it has a good value for the price compared to similar products for men,","5","2021-03-11 00:00:00 UTC","direct","ok","Wade N - VINE VOICE","support+anonymous@judge.me","4399656927305","challenger-primo-mens-eye-cream-anti-aging-eye-balm-reduce-wrinkles-under-eye-circles-puffiness-crows-feet-and-signs-of-age-unscented-1-ounce-airless-pump-with-natural-ingredients","","","","","","review-1c659a0e-4b8a-4c7e-8ab8-9305ec345898"
"Nice, minty, but overpriced shampoo","This is a nice shampoo. I got it to help with hair growth, it hasn’t done that and I doubt it will. The tea tree oil is very low on the list of ingredients. This is a fairly costly shampoo, 16 ounces for $16. It lathers nicely, it has many questionable ingredients, no sls, but other foaming agents. It is very pepperminty. It really invigorates the scalp, I enjoy it. It’s very gentle on my hair, it rinses out nicely and leaves my hair very silky and manageable. Don’t expect tea tree benefits from this shampoo the ingredient is hardly in the bottle.""","4","2020-07-03 00:00:00 UTC","direct","ok","Anna - VINE VOICE","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-ba0b8721-9f55-495e-9112-ec50a08e07ae"
"Affordable Mens Eye Cream That Works","This is an effective, premium eye cream at a very reasonable price. I'd say it works as good or better than product double or triple the price, and it covers all of the bases. Recently 50 years old, I have been using it for a while now and can attest to a reduction in the effects of aging around my eyes. Dark circles are all but gone, puffiness and wrinkles are reduced, and my skin feels hydrated.

I put it on in the morning and evening. It absorbs quickly leaving skin soft and smooth. The container looks good next to my sink along with my other Challenger products and the pump dispenses well. I really like this line of skin care from Primo and plan to keep using it.

Made in the USA","5","2021-04-05 00:00:00 UTC","direct","ok","Kort  - VINE VOICE","support+anonymous@judge.me","4399656927305","challenger-primo-mens-eye-cream-anti-aging-eye-balm-reduce-wrinkles-under-eye-circles-puffiness-crows-feet-and-signs-of-age-unscented-1-ounce-airless-pump-with-natural-ingredients","","","","","","review-11462b97-adbd-4f5a-b4f1-c9d0ae4a5546"
"High quality eye cream for men","This eye cream's bottle proudly proclaims that future you will thank you for using this. Well, I'm the future version of myself (at least compared to when I started using this a month ago), and in general, I'm glad I started using it, but my expectations for what it would do had to be modified slightly. Let me explain. I'm in my mid to late 30s, and like many people, I have some dark circles under my eyes. I've never really tried anything much in the past to get rid of the circles before, so they've just been sitting there, getting darker from years of life (and perhaps not enough sleep). My initial expectation was that this would offer some sort of dramatic improvement in the circles with daily use; I've used this daily for nearly a month now and have found some small amounts of improvement, but when I talked to my wife, who uses stuff like this regularly (and is a little younger than I am, but more importantly looks much younger than I do), she said to think of it more as a way to prevent future worsening than to completely rejuvenate the skin around my eyes. That made me a little sad, but with some obvious improvement (and certainly no further signs of aging), I feel pretty good about what this cream does.

I use one pump and it's enough for both eyes (perhaps even a little much). It hasn't got much aroma to speak of. The first little while I was using it, I noticed that it would sting just the tiniest bit on application (around my eyes, obviously not in my eyes), but after continued use, the stinging has stopped. I guess my skin got used to it. I use it after applying face wash and some facial cream. It's a bit pricey, but the quality seems good, and as I've said, there has been some clear impact, if not as dramatic as I hoped. The good thing, too, is that the quantity seems pretty generous. Since I use one pump either once or twice a day, it seems like it will last for quite some time before running out.

***I write reviews as a hobby because I love trying out electronics, clothing, household products, kitchen devices, and more. My hope is that my review will guide you to make a more informed choice about whether or not to make a purchase. If this review helped you in your decision-making today, please let me know with a helpful vote. Have a great day!***","5","2021-03-22 00:00:00 UTC","direct","ok","Ian D. - VINE VOICE","support+anonymous@judge.me","4399656927305","challenger-primo-mens-eye-cream-anti-aging-eye-balm-reduce-wrinkles-under-eye-circles-puffiness-crows-feet-and-signs-of-age-unscented-1-ounce-airless-pump-with-natural-ingredients","","","","","","review-f9ffa093-4648-4548-8da9-94a02ec059cd"
"Good","smell/feel good.","4","2020-03-14 00:00:00 UTC","direct","ok","Amazon Customer","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-254e1b2a-3217-45e2-afbc-fd4b060e0ca1"
"Excellent","I got the Shampoo/Conditioner two-pack, and I'm loving it! First impressions - surprisingly nice packaging, made unboxing feel like an event. Also, the instructions literally made me laugh out loud. Not the point of hair products, but an added bonus. Now for the important part: smells AMAZING, feels incredible, and I love how my hair feels afterwards. Definitely digging this brand.","5","2020-12-30 00:00:00 UTC","direct","ok","Steven","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-868052f1-ba0a-43eb-b6d4-a72788f65006"
"Stands out from others","A few reviews claimed that the smell was too strong or the feel was too much on the scalp but? That's actually what I love about this. Great way to wake up and it just feels CLEAN. Will definitely purchase again!","5","2020-08-08 00:00:00 UTC","direct","ok","Kirt L. Peterson","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-3a5e7de9-d86b-449c-9817-30ba96f56ab9"
"Nice shampoo","Like the shampoo. It’s the second time I’ve bought it. Nice on hair and last a long time.","5","2020-04-29 00:00:00 UTC","direct","ok","Thomas Wodock","support+anonymous@judge.me","141856079893","challenger-tea-tree-shampoo-16oz-premium-daily-or-every-other-day-shampoo","","","","","","review-61abf590-ee7e-416c-807d-c1b9eeaba97d"
"A nice thoughtful product!","I like the texture of this eye cream, it doesn’t feel greasy or thick, it goes on smoothly and gets absorbed by my skin nicely. Makes my skin look moisturized and healthy.

I understand the reason why airless pump for moisturizer. Most of the time, when the product stops pumping out, there’s probably still lots of product left in the bottle. Some of the airless pump bottles I had (from other brands) were impossible to take it apart. This moisturizer bottle has a design that allows you to easily take the pump bottle apart, so nothing goes to waste at the end, loved it!","5","2021-03-16 00:00:00 UTC","direct","ok","Spencer - VINE VOICE","support+anonymous@judge.me","4399656927305","challenger-primo-mens-eye-cream-anti-aging-eye-balm-reduce-wrinkles-under-eye-circles-puffiness-crows-feet-and-signs-of-age-unscented-1-ounce-airless-pump-with-natural-ingredients","","","","","","review-07b14094-0bfc-4b98-b719-cd06bb97c972"
